,id,num
0,c2110111597161952/,114
1,c2110115377016126/,80
2,c2110115187486483/,203
3,c2110343238336996/,53
4,c2110343238860955/,91
5,c2117909657382306/,114
6,c2110343238860931/,59
7,c2111103317141/,118
8,c2110343238861228/,133
9,c2111103317784/,32
10,c2111159613223470/,106
11,c2113688809468506/,106
12,c2110343238861023/,81
13,c2111103316550/,22
14,c2110343238337395/,105
15,c2110343238599043/,277
16,c2111103317968/,63
17,c2110113186803606/,261
18,c2111103317997/,265
19,c2111131336535659/,235
20,c2110343238861402/,87
21,c2113827105392819/,123
22,c2111103319031/,80
23,c2114396164681425/,130
24,c2110343238599472/,210
25,c2110343238861660/,111
26,c2110343238337410/,71
27,c2116932662161006/,43
28,c2110343238337359/,37
29,c219686972903772/,146
30,c2110343238336894/,52
31,c2110343238861406/,55
32,c2110343238598861/,126
33,c2111103317030/,142
34,c2111103316906/,53
35,c2120031324025971/,89
36,c2110343239122990/,43
37,c2110343238861609/,35
38,c2110343238861057/,26
39,c2110343239123008/,366
40,c2111103317754/,41
41,c2111103316769/,70
42,c2111103317220/,103
43,c2111103317581/,55
44,c2110157066825437/,69
45,c2111103317122/,76
46,c2110343238861212/,8
47,c2120022414782344/,329
48,c2110343238336681/,84
49,c2110343238337527/,183
50,c2110343238860954/,50
51,c2110343238598956/,37
52,c2111103319238/,8
53,c2113332297821843/,17
54,c2110343238336684/,48
55,c2113310190955572/,112
56,c2113331537867108/,70
57,c2120025176849669/,66
58,c2120031361777679/,11
59,c2110343238599347/,101
60,c2110343238860837/,62
61,c2111103319400/,27
62,c219977455717865/,23
63,c2113328298553584/,8
64,c2110343238599362/,96
65,c2110343238336898/,16
66,c2110343238861024/,59
67,c2111103317164/,178
68,c2111103317123/,17
69,c2110366582795717/,26
70,c2113333689020640/,84
71,c2113786360065529/,26
72,c2111138091986853/,62
73,c2111103317277/,66
74,c2110343238861592/,76
75,c2111103316920/,58
76,c2111103317109/,122
77,c2110050009576172/,93
78,c2111103319262/,56
79,c2110343238598788/,46
80,c2120032677494348/,149
81,c2110343238599108/,14
82,c2114391923454549/,68
83,c2110343238599253/,218
84,c2110343238861611/,17
85,c2111103316470/,70
86,c2110343238599628/,12
87,c2110343238599597/,35
88,c2110343239123309/,139
89,c2111103831602/,131
90,c2110343238599627/,33
91,c2110343238860981/,27
92,c2113671375057880/,130
93,c2110343238861405/,33
94,c2110343238337382/,5
95,c2110343238337230/,11
96,c2120022561661171/,48
97,c219687662865865/,284
98,c2111103319027/,14
99,c2113333506569111/,34
100,c2110343238861213/,19
101,c2111103318536/,6
102,c2111103318009/,13
103,c2113328662147633/,26
104,c2111103317803/,95
105,c2110343238599623/,29
106,c2111103318061/,32
107,c2111103319461/,44
108,c2111103831816/,8
109,c2110343238598672/,29
110,c2110343238860949/,42
111,c2111103317308/,89
112,c2111103318712/,41
113,c2111103317198/,90
114,c219997694021025/,6
115,c2112964534693315/,87
116,c2110343238861038/,64
117,c2111103316595/,26
118,c2110343238336922/,9
119,c2110343238860857/,111
120,c2111103316575/,27
121,c2110002133168720/,34
122,c2111103318105/,19
123,c2111103318994/,8
124,c2111103317964/,55
125,c2111103317039/,6
126,c2111103317020/,17
127,c2110343238599432/,51
128,c2111103317778/,21
129,c2110343238599013/,23
130,c2117749525672372/,59
131,c2110343238860900/,59
132,c2110343238861226/,56
133,c2111103316828/,9
134,c2111103316366/,46
135,c2110343238860950/,44
136,c2110343238598823/,56
137,c2110343238598706/,29
138,c2110343238861793/,22
139,c2110343238599440/,32
140,c2111103317368/,27
141,c2111103316586/,61
142,c2111103831805/,10
143,c2111157649240031/,39
144,c2120034965180683/,188
145,c2110049963437179/,10
146,c2111103317036/,18
147,c2110683329818631/,19
148,c2111103831480/,135
149,c2111103318667/,6
150,c2111103316916/,25
151,c2111103317421/,49
152,c219979495199704/,30
153,c2111103318393/,32
154,c2110343238861194/,4
155,c2110343238860886/,41
156,c2110343238599629/,20
157,c2110343238599358/,45
158,c2111103316600/,13
159,c2110343239123168/,64
160,c2111103316571/,15
161,c2111103316746/,21
162,c2111103318644/,11
163,c2110343238599117/,31
164,c2120033710677554/,37
165,c2120024502443365/,175
166,c2111103316646/,49
167,c2111103318387/,21
168,c2111103316813/,16
169,c2110048218607843/,38
170,c2110343238861670/,20
171,c2110343238599355/,63
172,c2110343239123192/,28
173,c2110343238861252/,1
174,c2111103316590/,26
175,c2111103318880/,10
176,c2110343238860935/,26
177,c2114443492420617/,76
178,c2111103316738/,27
179,c2110343238337358/,4
180,c2111103318150/,15
181,c2111103316722/,36
182,c2111103316464/,23
183,c2110343239123006/,155
184,c2110343238599352/,87
185,c2110343238861025/,42
186,c219999019159847/,78
187,c2111103831622/,48
188,c2111103318881/,39
189,c2113198893265564/,83
190,c2110343238337522/,17
191,c2111103317037/,54
192,c2113332985951162/,303
193,c2110343238599205/,19
194,c2111103317078/,94
195,c2110343238599272/,66
196,c2111103831494/,172
197,c2110343238336805/,34
198,c2111103316827/,17
199,c2111103318621/,37
200,c2111103316438/,18
201,c2111103316640/,37
202,c2113331461581992/,38
203,c2111103316584/,15
204,c2110343239123331/,37
205,c2111103318183/,11
206,c2111103831619/,131
207,c2110027322060254/,183
208,c2111103316799/,24
209,c2110343238599443/,16
210,c2110343238599433/,16
211,c2113328145985528/,92
212,c2111160081937289/,1
213,c2110343238599635/,17
214,c2111103318253/,99
215,c2111103318095/,4
216,c2110343238336962/,17
217,c2110343238599482/,38
218,c2110343238336866/,42
219,c2111103831572/,127
220,c2110343238861412/,27
221,c2111103317931/,37
222,c2111103318930/,3
223,c2111103316873/,16
224,c2111103316934/,13
225,c2111103319445/,24
226,c2110343238861007/,42
227,c2120032625068170/,72
228,c2110343238860880/,13
229,c2110343238860882/,6
230,c2110343238861612/,12
231,c2110343238598854/,94
232,c2110343238599630/,10
233,c2120034450199243/,27
234,c2110343238861563/,45
235,c2111103316500/,5
236,c219212120280332/,87
237,c2111103316961/,8
238,c2111103316919/,16
239,c219999623140242/,13
240,c2110343238336775/,14
241,c21000000000031/,27
242,c219979495199737/,1
243,c219164660420886/,25
244,c2111103316811/,39
245,c2111103316704/,11
246,c2110343238861810/,17
247,c2110343238599434/,18
248,c2110343238598988/,264
249,c2118063245740551/,15
250,c2110343238599463/,42
251,c2111103317500/,62
252,c2110343238336847/,30
253,c2120029136908469/,44
254,c2110343238861283/,68
255,c2111103831554/,3
256,c2110343239123053/,77
257,c2110685353045756/,147
258,c2111103316801/,24
259,c2111103318000/,12
260,c219686818237740/,97
261,c2111793062704023/,38
262,c2111103317441/,14
263,c2120021476088876/,22
264,c2111103316736/,53
265,c2110343238860919/,26
266,c2110343238860975/,37
267,c2111103831513/,93
268,c2111103316367/,21
269,c2120039852000661/,58
270,c2110343238861586/,37
271,c2111103317307/,9
272,c2111103319096/,9
273,c2111103317051/,71
274,c2111103317242/,1
275,c2110343238861241/,38
276,c2111103317632/,18
277,c2111267709612495/,13
278,c2110343238599522/,22
279,c2111789560458271/,200
280,c2113328298554211/,48
281,c2111103317120/,29
282,c219980119624908/,18
283,c2113328474713660/,112
284,c2110343238861341/,36
285,c2110343238861663/,8
286,c2111103317140/,112
287,c2111103317957/,22
288,c2110835194555960/,60
289,c2120039871805956/,2
290,c2112360075194890/,9
291,c2110343238861622/,5
292,c2111103316772/,50
293,c2110021439025104/,3
294,c2111103317600/,7
295,c2110343238336739/,34
296,c2111103318176/,7
297,c2111103831540/,21
298,c2110343238861668/,15
299,c2111103318302/,10
300,c2110343238860874/,39
301,c2111772696210866/,80
302,c2111103316659/,27
303,c2111103318454/,71
304,c2110343238861608/,9
305,c2110343238599549/,15
306,c2110343238337180/,101
307,c2111103317644/,31
308,c2111103831520/,204
309,c2111103316672/,63
310,c219097322180920/,12
311,c2111103316832/,41
312,c2111103316447/,36
313,c2111289562459264/,95
314,c2110343239122983/,29
315,c2110314782618023/,154
316,c2111103316677/,18
317,c2111103319431/,7
318,c2110343238598869/,25
319,c2111103316602/,20
320,c2110343238599039/,14
321,c2111103317121/,9
322,c2111103316508/,105
323,c2113332809265251/,58
324,c2110343238336761/,63
325,c2114897534480119/,112
326,c2120021833710734/,25
327,c2120021735141807/,42
328,c2113328474713269/,103
329,c2110343238861561/,22
330,c2111103317402/,1
331,c2111103316766/,31
332,c2111103316995/,25
333,c2110343238861410/,12
334,c2111103317998/,44
335,c2111138332372037/,25
336,c2110343238599357/,58
337,c2111103316576/,20
338,c2111103316941/,25
339,c2111103316878/,35
340,c2111103316816/,40
341,c2111103317025/,25
342,c2110343238599054/,13
343,c2110343238336867/,8
344,c2111103316744/,12
345,c2110343238599279/,11
346,c2111103317018/,47
347,c2110343238861397/,104
348,c2120034398865179/,200
349,c2110343238861500/,15
350,c2110343238599454/,44
351,c2110343238598796/,5
352,c219070930308693/,41
353,c2110044502191830/,83
354,c2110343239123004/,91
355,c2114963330790026/,108
356,c2110343238599295/,15
357,c2111103317712/,11
358,c2111103317065/,4
359,c2111103318219/,20
360,c2111103318385/,15
361,c2110343238336587/,67
362,c2110343238599366/,36
363,c2113199275994762/,3
364,c2111103316453/,7
365,c2111137626682096/,5
366,c2111103318168/,20
367,c2111103317779/,43
